"","from","to"
"151","LNX1","KHDRBS3"
"152","LNX1","TYRO3"
"153","LNX1","WAC"
"154","LNX1","WWP1"
"155","LNX1","STX5"
"156","LNX1","PCBD1"
"157","LNX1","RPIA"
"158","LNX1","PKM"
"159","LNX1","PPIA"
"160","LNX1","PPID"
"161","LNX1","PTPN11"
"162","LNX1","CPNE2"
"163","LNX1","NUDT14"
"164","LNX1","DPF2"
"165","LNX1","NADK"
"166","LNX1","SNRPF"
"167","LNX1","RABAC1"
"168","LNX1","EIF4H"
"169","LNX1","PAICS"
"170","LNX1","CCDC85B"
"171","LNX1","CDC42EP4"
"172","LNX1","TMEM14C"
"173","LNX1","AIDA"
"174","LNX1","POMGNT1"
"175","LNX1","DCUN1D5"
"176","LNX1","SRSF1"
"177","LNX1","APP"
"178","LNX1","BCR"
"179","LNX1","ABCA1"
"180","LNX1","UBE2D2"
"181","LNX1","TSC2"
"182","LNX1","NUMB"
"183","LNX1","DNPEP"
"184","LNX1","BLVRA"
"185","LNX1","DCTD"
"186","LNX1","SSNA1"
"187","LNX1","C1QTNF1"
"188","LNX1","TPM4"
"189","LNX1","ORMDL3"
"190","LNX1","DOCK9"
"191","LNX1","AKIRIN2"
"192","LNX1","PDZRN3"
"193","LNX1","CTSO"
"194","LNX1","ABR"
"195","LNX1","MRPS24"
"196","LNX1","MUSTN1"
"197","LNX1","PLEKHG5"
"198","LNX1","ZADH2"
"199","ACTB","ACTG1"
"200","ACTB","CFL1"
"201","ACTB","CFL2"
"202","ACTB","CAP2"
"203","ACTB","DSTN"
"204","ACTB","SRPK2"
"205","ACTB","UBE3A"
"206","ACTB","BCL2L1"
"207","ACTB","CDKN1A"
"208","ACTB","SMN2"
"209","ACTB","ABLIM1"
"210","ACTB","VHL"
"211","ACTB","RPL10A"
"212","ACTB","COTL1"
"213","ACTB","RAC1"
"214","ACTB","TINF2"
"215","ACTB","PFN1"
"216","ACTB","NSMAF"
"217","ACTB","HNRNPD"
"218","ACTB","KHDRBS1"
"219","ACTB","RAC2"
"220","ACTB","POLR2A"
"221","ACTB","ANXA7"
"222","ACTB","HNRNPU"
"223","ACTB","CSNK2B"
"224","ACTB","ERG"
"225","ACTB","A2M"
"226","ACTB","MYOC"
"227","ACTB","FABP4"
"228","ACTB","CTGF"
"229","ACTB","SAMHD1"
"230","ACTG1","CFL1"
"231","ACTG1","CFL2"
"232","ACTG1","CAP2"
